Title,Ratings,Rank,Time on list,Author,Reviews,PreOrders?,Price
"Wayward (The Wayward Pines Trilogy, B...","2,038",51,129 days in the top 100,by Blake Crouch,4.5; 5,,5.99
Nobody's Child (Georgia Davis Series...,88,52,5 days in the top 100,by Libby Fischer Hellmann,4.5; 5,,0.99
When An Alpha Purrs (A Lion's Pride B...,,53,2 days in the top 100,by Eve Langlais,,,3.99
Luckiest Girl Alive: A Novel,42,54,3 days in the top 100,by Jessica Knoll,3.8; 5,,9.99
The Heir (The selection Book 4),248,55,10 days in the top 100,by Kiera Cass,4.1; 5,,12.99
Hosting the Presence Every Day: 365 D...,30,56,1 day in the top 100,by Bill Johnson,4.4; 5,,1.99
The Life-Changing Magic of Tidying Up...,"2,270",57,82 days in the top 100,by Marie Kondo,4.4; 5,,7.26
Departure,"2,475",58,161 days in the top 100,by A.G. Riddle,4.2; 5,,4.99
The Altar Girl: A Prequel (The Nadia...,568,59,44 days in the top 100,by Orest Stelmach,4; 5,,4.99
The Gilded Cuff (Surrender Book 1),90,60,1 day in the top 100,by Lauren Smith,4.6; 5,,1.99
Remem-bear Me (Polar Heat Book 4),57,61,3 days in the top 100,by Terry Bolryder,5; 5,,0.99
"Taken, Not Spurred (Lone Star Burn Bo...",401,62,32 days in the top 100,by Ruth Cardello,4.2; 5,,2.99
The Hit-man: The Protectors Book 2,20,63,2 days in the top 100,by Jordan Silver,4.8; 5,,3.99
The Bone Tree: A Novel (Penn Cage Boo...,281,64,24 days in the top 100,by Greg Iles,4.3; 5,,9.99
"Hidden (Bone Secrets Series, Book 1)","1,453",65,148 days in the top 100,by Kendra Elliot,4.3; 5,,1.99
Carter,177,66,19 days in the top 100,by R.J. Lewis,4.7; 5,,0.99
"To Sir, With Love",95,67,7 days in the top 100,by E. R. Braithwaite,4.6; 5,,5.98
The Last Town (The Wayward Pines Tril...,"1,933",68,112 days in the top 100,by Blake Crouch,4.5; 5,,5.99
Echo (Black Lotus #2),75,69,2 days in the top 100,by E.K. Blair,5; 5,,2.99
The Husband's Secret,"14,729",70,628 days in the top 100,by Liane Moriarty,4.3; 5,,6.99
Three Wishes,"1,545",71,33 days in the top 100,by Liane Moriarty,4.2; 5,,4.99
Every Fifteen Minutes,230,72,30 days in the top 100,by Lisa Scottoline,4.2; 5,,8.99
At the Water's Edge: A Novel,439,73,35 days in the top 100,by Sara Gruen,3.9; 5,,11.84
The Friend Zone (Game On Book 2),100,74,11 days in the top 100,by Kristen Callihan,4.7; 5,,4.99
Stepbrother With Benefits 1,45,75,14 days in the top 100,by Mia Clark,4.6; 5,,0.99
Seduced by Sunday (Weekday Brides Ser...,252,76,34 days in the top 100,by Catherine Bybee,4.6; 5,,4.99
Underdog (A Melanie Travis Mystery Bo...,39,77,1 day in the top 100,by Laurien Berenson,4.2; 5,,1.99
The Forgotten Room: A Novel,28,78,2 days in the top 100,by Lincoln Child,4.2; 5,,12.99
Captured by the Alien Lord: An Alien...,70,79,6 days in the top 100,by Mina Carter,4; 5,,0.99
All I Want Is That Hood Love 2,225,80,10 days in the top 100,by Mercedes G,4.8; 5,,2.99
Dead Wake: The Last Crossing of the L...,"1,389",81,73 days in the top 100,by Erik Larson,4.5; 5,,10.99
In His Shadow (Tangled Ivy Book 1),333,82,13 days in the top 100,by Tiffany Snow,4.1; 5,,3.99
NYPD Red 3,606,83,68 days in the top 100,by James Patterson,4.5; 5,,6.99
Just Say When,55,84,2 days in the top 100,by Kaylee Ryan,4.5; 5,,2.99
A Wife for the Wolves (BBW Shifter Ma...,49,85,5 days in the top 100,by Lola Kidd,4.3; 5,,0.99
Almost Like Love,230,86,35 days in the top 100,by Abigail Strom,4.4; 5,,3.99
Taken By a Trillionaire,18,87,3 days in the top 100,by Melody Anne,4.6; 5,,4.99
Fair Game (The Rules Book 1),24,88,2 days in the top 100,by Monica Murphy,4.4; 5,,3.99
Treat Me Like Somebody,40,89,3 days in the top 100,by Nikki Simms,4.8; 5,,0.99
"More, Please",53,90,13 days in the top 100,by Kate Aster,4.8; 5,,2.99
What She Left Behind,"1,751",91,8 days in the top 100,by Ellen Marie Wiseman,4.3; 5,,7.99
Wish You Well,730,92,3 days in the top 100,by David Baldacci,4.4; 5,,2.99
Double Dare (A Neighbor from Hell Boo...,235,93,20 days in the top 100,by R.L. Mathewson,4.4; 5,,2.99
EMBER - Part One (The EMBER Series Bo...,105,94,13 days in the top 100,by Deborah Bladon,4.7; 5,,0.99
The Execution: A Jeremy Fisk Novel (J...,206,95,1 day in the top 100,by Dick Wolf,4.3; 5,,1.99
What Alice Forgot,"4,223",96,136 days in the top 100,by Liane Moriarty,4.4; 5,,7.88
The Alpha's Surrogate: A Paranormal P...,88,97,3 days in the top 100,by Angela Foxxe,4.5; 5,,0.99
"Dragonfly In Amber (Outlander, Book 2)","4,466",98,247 days in the top 100,by Diana Gabaldon,4.7; 5,,4.99
The White Queen: A Novel (Cousins War...,"1,034",99,99 days in the top 100,by Philippa Gregory,4.1; 5,,1.99
A God in Ruins: A Novel,13,100,10 days in the top 100,by Kate Atkinson,4.2; 5,,12.99
